 County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Western New York,101,Western New York,d1,"Cardiovascular disease mortality rate per 100,000",16787,1537947,Average annual population,Rate,363.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d1,"Cardiovascular disease mortality rate per 100,000",10438,1271131,Average annual population,Rate,273.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d1,"Cardiovascular disease mortality rate per 100,000",63606,8270641,Average annual population,Rate,256.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",12493,1439971,Average annual population,Rate,289.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d1,"Cardiovascular disease mortality rate per 100,000",3329,299236,Average annual population,Rate,370.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d1,"Cardiovascular disease mortality rate per 100,000",14050,1497372,Average annual population,Rate,312.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d1,"Cardiovascular disease mortality rate per 100,000",17379,2294607,Average annual population,Rate,252.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d1,"Cardiovascular disease mortality rate per 100,000",26122,2850679,Average annual population,Rate,305.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d1,"Cardiovascular disease mortality rate per 100,000",164204,19461584,Average annual population,Rate,281.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",16787,1537947,Average annual population,Rate,267.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",10438,1271131,Average annual population,Rate,217.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",12493,1439971,Average annual population,Rate,236.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",3329,299236,Average annual population,Rate,261.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",14050,1497372,Average annual population,Rate,242.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",17379,2294607,Average annual population,Rate,215.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",63606,8270641,Average annual population,Rate,249.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",26122,2850679,Average annual population,Rate,242.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d1a,"Age-adjusted cardiovascular disease mortality rate per 100,000",164204,19461584,Average annual population,Rate,242.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",2506,1537947,Average annual population,Rate,54.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1749,1271131,Average annual population,Rate,45.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1974,1439971,Average annual population,Rate,45.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",497,299236,Average annual population,Rate,55.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",1878,1497372,Average annual population,Rate,41.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
