County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
New York State,999,New York State,g22,"Age-adjusted percentage of adults with physician diagnosed angina, heart attack or stroke",,,,Percentage,7.6,(6.4-8.7),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,,,
New York State,999,New York State,g29,Age-adjusted percentage of adults with physician diagnosed diabetes,,,,Percentage,9,(7.8-10.3),,2008-2009,2008-2009 NYS Expanded Behavioral Risk Factor Surveillance System Data as of 2010,,,
Western New York,101,Western New York,g62,Percentage of WIC mothers breastfeeding at least 6 months,2489,5572,Average annual population,Percentage,14.9,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Finger Lakes,102,Finger Lakes,g62,Percentage of WIC mothers breastfeeding at least 6 months,2496,4439,Average annual population,Percentage,18.7,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Central New York,103,Central New York,g62,Percentage of WIC mothers breastfeeding at least 6 months,3455,6251,Average annual population,Percentage,18.4,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
New York-Penn,104,New York-Penn,g62,Percentage of WIC mothers breastfeeding at least 6 months,855,1479,Average annual population,Percentage,19.3,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Northeastern New York,105,Northeastern New York,g62,Percentage of WIC mothers breastfeeding at least 6 months,2796,5122,Average annual population,Percentage,18.2,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Hudson Valley,106,Hudson Valley,g62,Percentage of WIC mothers breastfeeding at least 6 months,12610,8588,Average annual population,Percentage,48.9,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
New York City,107,New York City,g62,Percentage of WIC mothers breastfeeding at least 6 months,68669,49518,Average annual population,Percentage,46.2,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,g62,Percentage of WIC mothers breastfeeding at least 6 months,6694,6105,Average annual population,Percentage,36.6,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
New York State,999,New York State,g62,Percentage of WIC mothers breastfeeding at least 6 months,100054,87079,Average annual population,Percentage,38.3,,,2009-2011,"2009-2011 NYS Pediatric Nutrition Surveillance System Data as of September, 2013",,,
Western New York,101,Western New York,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,15.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Finger Lakes,102,Finger Lakes,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,16.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Central New York,103,Central New York,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,17,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
New York-Penn,104,New York-Penn,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,16.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Northeastern New York,105,Northeastern New York,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,16.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Hudson Valley,106,Hudson Valley,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,15.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,16.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
New York State (excludin,888,New York State,g63,"Percentage overweight but not obese (85th-<95th percentile) - All students (elementary, middle and high school)",,,,Percentage,16.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Western New York,101,Western New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,18,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Finger Lakes,102,Finger Lakes,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,18,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Central New York,103,Central New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,19.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Tioga,49,New York-Penn,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,18.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 18.9 : Q1 & Q2,1,"(42.120252, -76.29595)"
New York-Penn,104,New York-Penn,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,19.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Albany,1,Northeastern New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,17.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 18.9 : Q1 & Q2,1,"(42.678066, -73.814233)"
Clinton,9,Northeastern New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,20.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",20.4 + : Q4,3,"(44.731944, -73.548883)"
Columbia,10,Northeastern New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,19.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",18.9 - < 20.4 : Q3,2,"(42.276913, -73.682168)"
Delaware,12,Northeastern New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,22.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",20.4 + : Q4,3,"(42.242972, -74.997944)"
